datetime,portfolio_value,cash,positions,return
2019-10-01 08:30:00-04:00,100000.0,100000.0,[],
2019-10-01 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-01 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-02 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-03 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-04 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-05 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-06 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-07 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-08 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-09 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-10 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-11 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-12 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-13 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-14 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-15 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-16 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-17 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-18 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-19 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-20 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-21 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-22 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-23 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-24 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-25 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-26 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-27 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-28 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-29 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-30 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-10-31 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-11-01 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-11-02 09:30:00-04:00,100000.0,100000.0,[],0.0
2019-11-03 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-04 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-05 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-06 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-07 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-08 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-09 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-10 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-11 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-12 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-13 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-14 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-15 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-16 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-17 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-18 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-19 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-20 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-21 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-22 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-23 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-24 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-25 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-26 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-27 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-28 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-29 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-11-30 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-01 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-02 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-03 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-04 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-05 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-06 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-07 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-08 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-09 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-10 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-11 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-12 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-13 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-14 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-15 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-16 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-17 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-18 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-19 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-20 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-21 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-22 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-23 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-24 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-25 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-26 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-27 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-28 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-29 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-30 08:30:00-05:00,100000.0,100000.0,[],0.0
2019-12-31 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-01 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-02 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-03 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-04 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-05 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-06 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-07 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-08 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-09 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-10 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-11 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-12 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-13 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-14 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-15 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-16 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-17 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-18 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-19 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-20 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-21 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-22 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-23 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-24 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-25 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-26 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-27 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-28 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-29 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-30 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-01-31 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-01 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-02 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-03 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-04 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-05 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-06 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-07 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-08 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-09 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-10 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-11 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-12 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-13 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-14 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-15 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-16 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-17 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-18 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-19 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-20 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-21 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-22 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-23 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-24 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-25 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-26 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-27 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-28 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-02-29 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-03-01 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-03-02 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-03-03 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-03-04 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-03-05 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-03-06 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-03-07 08:30:00-05:00,100000.0,100000.0,[],0.0
2020-03-08 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-09 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-10 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-11 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-12 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-13 09:30:00-04:00,100000.0,100000.0,[],0.0
