datetime,portfolio_value,cash,positions,return
2024-05-22 15:05:33.702845-04:00,100000.0,100000.0,[],
2024-05-22 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-05-23 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-05-24 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-05-25 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-05-26 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-05-27 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-05-28 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-05-29 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-05-30 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-05-31 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-01 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-02 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-03 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-04 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-05 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-06 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-07 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-08 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-09 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-10 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-11 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-12 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-13 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-14 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-15 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-16 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-17 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-18 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-19 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-20 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-21 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-22 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-23 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-24 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-25 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-26 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-27 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-28 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-29 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-06-30 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-01 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-02 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-03 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-04 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-05 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-06 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-07 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-08 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-09 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-10 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-11 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-12 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-13 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-14 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-15 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-16 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-17 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-18 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-19 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-20 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-21 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-22 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-23 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-24 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-25 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-26 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-27 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-28 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-29 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-30 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-07-31 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-01 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-02 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-03 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-04 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-05 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-06 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-07 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-08 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-09 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-10 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-11 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-12 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-13 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-14 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-15 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-16 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-17 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-18 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-19 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-20 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-21 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-22 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-23 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-24 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-25 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-26 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-27 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-28 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-29 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-30 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-08-31 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-01 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-02 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-03 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-04 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-05 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-06 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-07 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-08 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-09 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-10 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-11 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-12 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-13 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-14 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-15 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-16 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-17 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-18 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-19 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-20 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-21 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-22 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
2024-09-23 15:05:33.702845-04:00,100000.0,100000.0,[],0.0
